а	a
туурдуктун	t u u r d u q t u n
тууруна	t u u r u n a
туутанбай	t u u t a n b a j
туутандын	t u u t a n d ih n
туутаны	t u u t a n ih
туш	t u sh
тушай	t u sh a j
тушап	t u sh a p
тушарга	t u sh a r gh a
тушарын	t u sh a r ih n
тушкийиз	t u sh k i j i z
тушоосу	t u sh o o s u
тушташ	t u sh t a sh
туштушка	t u sh t u sh q a
туштушта	t u sh t u sh t a
туштуштан	t u sh t u sh t a n
туштушу	t u sh t u sh u
туштушунан	t u sh t u sh u n a n
туштушунда	t u sh t u sh u n d a
тушуна	t u sh u n a
тушунан	t u sh u n a n
тушунда	t u sh u n d a
тушундагы	t u sh u n d a gh ih
туюк	t u j u к
туюкка	t u j u кq a
туюкта	t u j u кt a
туюкталып	t u j u кt a l ih p
туюлар	t u j u l a r
туюлат	t u j u l a t
туюлду	t u j u l d u
туюлууда	t u j u l u u d a
туягы	t u j a gh ih
туягын	t u j a gh ih n
туягына	t u j a gh ih n a
туягың	t u j a gh ih ng
туяксыз	t u j a кs ih z
тыаыбек	t ih a ih b e к
тыбырайт	t ih w ih r a j t
тыбырчылады	t ih w ih r tsh ih l a d ih
тыбырчылап	t ih w ih r tsh ih l a p
тыгылып	t ih gh ih l ih p
тыз	t ih z
тызылдай	t ih z ih l d a j
тызылдап	t ih z ih l d a p
тый	t ih j
тыйылбайт	t ih j ih l b a j t
тыйылган	t ih j ih l gh a n
тыйылганы	t ih j ih l gh a n ih
тыйылганына	t ih j ih l gh a n ih n a
тыйылды	t ih j ih l d ih
тыйылып	t ih j ih l ih p
тыйын	t ih j ih n
тыйынга	t ih j ih n gh a
тыйындай	t ih j ih n d a j
тыйыны	t ih j ih n ih
тыйып	t ih j ih p
тык	t ih к
тыкылдата	t ih q ih l d a t a
тыкылдатты	t ih q ih l d a t t ih
тыкылдатып	t ih q ih l d a t ih p
тым	t ih m
тымпыйды	t ih m p ih j d ih
тымпыйып	t ih m p ih j ih p
тымпыйышат	t ih m p ih j ih sh a t
тымпыйышып	t ih m p ih j ih sh ih p
тымтым	t ih m t ih m
тымтырс	t ih m t ih r s
тымызын	t ih m ih z ih n
тымый	t ih m ih j
тына	t ih n a
тынар	t ih n a r
тынарбек	t ih n a r b e к
тынарбектин	t ih n a r b e k t i n
тынардын	t ih n a r d ih n
тынбай	t ih n b a j
тынбайт	t ih n b a j t
тынбан	t ih n b a n
тынбасы	t ih n b a s ih
тынгансыды	t ih n gh a n s ih d ih
тынды	t ih n d ih
тындым	t ih n d ih m
тындырбайт	t ih n d ih r b a j t
тынсын	t ih n s ih n
тынч	t ih n tsh
тынчпы	t ih n tsh p ih
тынчтана	t ih n tsh t a n a
тынчтангандан	t ih n tsh t a n gh a n d a n
тынчтангыла	t ih n tsh t a n gh ih l a
тынчтанды	t ih n tsh t a n d ih
тынчтык	t ih n tsh t ih к
тынчтыкка	t ih n tsh t ih q q a
тынчтыкты	t ih n tsh t ih q t ih
тынчы	t ih n tsh ih
тынчыбай	t ih n tsh ih w a j
тынчыган	t ih n tsh ih gh a n
тынчыды	t ih n tsh ih d ih
тынчый	t ih n tsh ih j
тынчыйт	t ih n tsh ih j t
тынчын	t ih n tsh ih n
тынчып	t ih n tsh ih p
тыныбеги	t ih n ih b e g i
тыныбегиң	t ih n ih b e g i ng
тыныбек	t ih n ih b e к
тыныбекке	t ih n ih b e k k e
тыныбектен	t ih n ih b e k t e n
тыныбектер	t ih n ih b e k t e r
тыныбекти	t ih n ih b e k t i
тыныбектики	t ih n ih b e k t i k i
тыныбектикинде	t ih n ih b e k t i k i n d e
тыныбектикине	t ih n ih b e k t i k i n e
тыныбектин	t ih n ih b e k t i n
тыныбектиы	t ih n ih b e k t i ih
тыныгуу	t ih n ih gh u u
тынык	t ih n ih к
тыныктырып	t ih n ih q t ih r ih p
тыным	t ih n ih m
тынымсыз	t ih n ih m s ih z
тынып	t ih n ih p
тынышты	t ih n ih sh t ih
тыпыбек	t ih p ih b e к
тыргандан	t ih r gh a n d a n
тырмагы	t ih r m a gh ih
тырмагына	t ih r m a gh ih n a
тырмактай	t ih r m a q t a j
тырмактын	t ih r m a q t ih n
тырмалап	t ih r m a l a p
тырмалашып	t ih r m a l a sh ih p
тырмышканча	t ih r m ih sh q a n tsh a
тырмышканы	t ih r m ih sh q a n ih
тырмышты	t ih r m ih sh t ih
тырчыган	t ih r tsh ih gh a n
тырчыганы	t ih r tsh ih gh a n ih
тырчый	t ih r tsh ih j
тырыгынан	t ih r ih gh ih n a n
тырыштырып	t ih r ih sh t ih r ih p
тырышчаак	t ih r ih sh tsh a a к
тырышып	t ih r ih sh ih p
тытылган	t ih t ih l gh a n
тытылып	t ih t ih l ih p
тышка	t ih sh q a
тышкары	t ih sh q a r ih
тышта	t ih sh t a
тыштагы	t ih sh t a gh ih
тыштагыларга	t ih sh t a gh ih l a r gh a
тышталган	t ih sh t a l gh a n
тыштуу	t ih sh t u u
тышынан	t ih sh ih n a n
тышында	t ih sh ih n d a
тышынын	t ih sh ih n ih n
тыя	t ih j a
тыягына	t ih j a gh ih n a
тыягынан	t ih j a gh ih n a n
тыягың	t ih j a gh ih ng
тыякка	t ih j a кq a
тыякта	t ih j a кt a
тыянак	t ih j a n a к
тыянакка	t ih j a n a q q a
тыянактай	t ih j a n a q t a j
тыят	t ih j a t
тың	t ih ng
тыңлаңыздар	t ih ng l a ng ih z d a r
тыңчы	t ih ng tsh ih
тыңчылыкка	t ih ng tsh ih l ih q q a
тыңшабай	t ih ng sh a w a j
тыңшабап	t ih ng sh a w a p
тыңшаган	t ih ng sh a gh a n
тыңшаганда	t ih ng sh a gh a n d a
тыңшагансып	t ih ng sh a gh a n s ih p
тыңшаганы	t ih ng sh a gh a n ih
тыңшагысы	t ih ng sh a gh ih s ih
тыңшады	t ih ng sh a d ih
тыңшайт	t ih ng sh a j t
тыңшап	t ih ng sh a p
тыңшашканын	t ih ng sh a sh q a n ih n
тыңшашпады	t ih ng sh a sh p a d ih
тыңы	t ih ng ih
тыңырагын	t ih ng ih r a gh ih n
тьктогул	t ькt o gh u l
тэ	t eh
тээ	t eh eh
тээтиги	t eh eh t i g i
тюлтура	t j u l t u r a
түбү	t y b y
түбүн	t y b y n
түбүндө	t y b y n d oe
түбүндөгү	t y b y n d oe g y
түбүне	t y b y n e
түбүнө	t y b y n oe
түбүнөн	t y b y n oe n
түбөлүк	t y b oe l y к
түбөлүккө	t y b oe l y k k oe
түгпүндү	t y g p y n d y
түгү	t y g y
түгүгл	t y g y g l
түгүл	t y g y l
түгөйү	t y g oe j y
түгөйүм	t y g oe j y m
түгөйүмдөн	t y g oe j y m d oe n
түгөйүн	t y g oe j y n
түгөйүнөн	t y g oe j y n oe n
түгөл	t y g oe l
түгөлдүгү	t y g oe l d y g y
түгөлдөшүп	t y g oe l d oe sh y p
түгөнбөгөн	t y g oe n b oe g oe n
түгөнбөйт	t y g oe n b oe j t
түгөнбөс	t y g oe n b oe s
түгөнбөсүн	t y g oe n b oe s y n
түгөнгөн	t y g oe n g oe n
түгөндү	t y g oe n d y
түгөндүбү	t y g oe n d y b y
түгөндүк	t y g oe n d y к
түгөнот	t y g oe n o t
түгөнткөнчө	t y g oe n t k oe n tsh oe
түгөнүп	t y g oe n y p
түгөнөт	t y g oe n oe t
түгөт	t y g oe t
түгөткүс	t y g oe t k y s
түгөтпөй	t y g oe t p oe j
түгөтө	t y g oe t oe
түз	t y z
түзгүлө	t y z g y l oe
түзгөн	t y z g oe n
түздө	t y z d oe
түздөнтүз	t y z d oe n t y z
түздөп	t y z d oe p
түзүлгөн	t y z y l g oe n
түзүн	t y z y n
түзүп	t y z y p
түзүү	t y z y y
түзүүгө	t y z y y g oe
түзүүнүн	t y z y y n y n
түзөлүп	t y z oe l y p
түзөп	t y z oe p
түзөрдө	t y z oe r d oe
түзөөрүн	t y z oe oe r y n
түймөккө	t y j m oe k k oe
түйтөктөп	t y j t oe k t oe p
түйшүгү	t y j sh y g y
түйшүгүбүздү	t y j sh y g y b y z d y
түйшүк	t y j sh y к
түйшүккө	t y j sh y k k oe
түйшүктү	t y j sh y k t y
түйшүктүү	t y j sh y k t y y
түйшүктөн	t y j sh y k t oe n
түйщүктүү	t y j sh y k t y y
түйүлүп	t y j y l y p
түйүлө	t y j y l oe
түйүнчөк	t y j y n tsh oe к
түйүнү	t y j y n y
түйүнүн	t y j y n y n
түйүп	t y j y p
түйүшөт	t y j y sh oe t
түк	t y к
түктүйткөн	t y k t y j t k oe n
түктүйүп	t y k t y j y p
түктүйө	t y k t y j oe
түкшүмөлдөөгө	t y k sh y m oe l d oe oe g oe
түкүлдөп	t y k y l d oe p
түкүнчөнүн	t y k y n tsh oe n y n
түкүрүнүп	t y k y r y n y p
түкүрүп	t y k y r y p
түлкүдөй	t y l k y d oe j
түлкүнү	t y l k y n y
түлөө	t y l oe oe
түлөөгө	t y l oe oe g oe
түн	t y n
түнгүнө	t y n g y n oe
түнгө	t y n g oe
түндү	t y n d y
түндүгү	t y n d y g y
түндүгүн	t y n d y g y n
түндүгүнө	t y n d y g y n oe
түндүк	t y n d y к
түндүктөн	t y n d y k t oe n
түндө	t y n d oe
түндөгү	t y n d oe g y
түндөрдө	t y n d oe r d oe
түндөрү	t y n d oe r y
түнкү	t y n k y
түнкүн	t y n k y n
түнкүсун	t y n k y s u n
түнкүсүн	t y n k y s y n
түнт	t y n t
түнттөрү	t y n t t oe r y
түнү	t y n y
түнүнкүсүн	t y n y n k y s y n
түнөгөндүктүн	t y n oe g oe n d y k t y n
түнөгөндө	t y n oe g oe n d oe
түнөдү	t y n oe d y
түнөдүмбү	t y n oe d y m b y
түнөйт	t y n oe j t
түнөк	t y n oe к
түнөрүп	t y n oe r y p
түнөрүңкү	t y n oe r y ng k y
түп	t y p
түпгунүшүп	t y p gh u n y sh y p
түпгүндү	t y p g y n d y
түпгүнүшө	t y p g y n y sh oe
түпгүп	t y p g y p
түпкү	t y p k y
түпкүрүндө	t y p k y r y n d oe
түпсүз	t y p s y z
түптүз	t y p t y z
түптүңүз	t y p t y ng y z
түпөктүү	t y p oe k t y y
түргө	t y r g oe
түрдү	t y r d y
түрдүрүп	t y r d y r y p
түрдүү	t y r d y y
түрдө	t y r d oe
түрдөп	t y r d oe p
түркүн	t y r k y n
түрлүү	t y r l y y
түрлөнтүп	t y r l oe n t y p
түрлөнтө	t y r l oe n t oe
түрлөрүн	t y r l oe r y n
түрлөрүнө	t y r l oe r y n oe
түрмөгө	t y r m oe g oe
түрмөдө	t y r m oe d oe
түрмөдөн	t y r m oe d oe n
түрмөктөлүп	t y r m oe k t oe l y p
түрмөктөшкөн	t y r m oe k t oe sh k oe n
түрмөнү	t y r m oe n y
түрмөнүн	t y r m oe n y n
түрсүлдөгөнү	t y r s y l d oe g oe n y
түрсүлдөдү	t y r s y l d oe d y
түрсүлдөп	t y r s y l d oe p
түрткүлөгөнү	t y r t k y l oe g oe n y
түрттү	t y r t t y
түртүп	t y r t y p
түртүшөр	t y r t y sh oe r
түрчү	t y r tsh y
түрү	t y r y
түрүн	t y r y n
түрүнгөн	t y r y n g oe n
түрүнүн	t y r y n y n
түрүнүп	t y r y n y p
түрүнө	t y r y n oe
түрүнөн	t y r y n oe n
түрүп	t y r y p
түрүшкөн	t y r y sh k oe n
түрүштү	t y r y sh t y
түрүшөт	t y r y sh oe t
түрө	t y r oe
түткүнчө	t y t k y n tsh oe
түтпөй	t y t p oe j
түтсүн	t y t s y n
түтун	t y t u n
түтүн	t y t y n
түтүндү	t y t y n d y
түтүндөй	t y t y n d oe j
түтүндөн	t y t y n d oe n
түтө	t y t oe
түтөдү	t y t oe d y
түтөйт	t y t oe j t
түчнкү	t y tsh n k y
түш	t y sh
түшкө	t y sh k oe
түшкөмүтн	t y sh k oe m y t n
түшкөн	t y sh k oe n
түшкөндүктөн	t y sh k oe n d y k t oe n
түшкөндүр	t y sh k oe n d y r
түшкөндө	t y sh k oe n d oe
түшкөндөй	t y sh k oe n d oe j
түшкөндөн	t y sh k oe n d oe n
түшкөндөргө	t y sh k oe n d oe r g oe
түшкөнсүп	t y sh k oe n s y p
түшкөнү	t y sh k oe n y
түшкөнүн	t y sh k oe n y n
түшкөнүнө	t y sh k oe n y n oe
түшкөнүш	t y sh k oe n y sh
түшмөк	t y sh m oe к
түшмөкчү	t y sh m oe k tsh y
түшо	t y sh o
түшпөгөн	t y sh p oe g oe n
түшпөгөнүн	t y sh p oe g oe n y n
түшпөдү	t y sh p oe d y
түшпөй	t y sh p oe j
түшпөйт	t y sh p oe j t
түшпөс	t y sh p oe s
түшпөсүн	t y sh p oe s y n
түшпөсүнө	t y sh p oe s y n oe
түшсүн	t y sh s y n
түшсө	t y sh s oe
түштү	t y sh t y
түштүбү	t y sh t y b y
түштүк	t y sh t y к
түштүккө	t y sh t y k k oe
түштүктө	t y sh t y k t oe
түштүктөгү	t y sh t y k t oe g y
түштүм	t y sh t y m
түштүң	t y sh t y ng
түштө	t y sh t oe
түштөн	t y sh t oe n
түшүжөт	t y sh y zh oe t
түшүм	t y sh y m
түшүмгө	t y sh y m g oe
түшүмдүн	t y sh y m d y n
түшүмдөн	t y sh y m d oe n
түшүмөн	t y sh y m oe n
түшүн	t y sh y n
түшүнбөгөн	t y sh y n b oe g oe n
түшүнбөгөндүгү	t y sh y n b oe g oe n d y g y
түшүнбөгөндүк	t y sh y n b oe g oe n d y к
түшүнбөгөндөй	t y sh y n b oe g oe n d oe j
түшүнбөдү	t y sh y n b oe d y
түшүнбөй	t y sh y n b oe j
түшүнбөйм	t y sh y n b oe j m
түшүнбөйсүң	t y sh y n b oe j s y ng
түшүнбөйт	t y sh y n b oe j t
түшүнбөптүрсүң	t y sh y n b oe p t y r s y ng
түшүнбөсө	t y sh y n b oe s oe
түшүнбөсөм	t y sh y n b oe s oe m
түшүнгон	t y sh y n gh o n
түшүнгүсү	t y sh y n g y s y
түшүнгөн	t y sh y n g oe n
түшүнгөндөй	t y sh y n g oe n d oe j
түшүнгөндөн	t y sh y n g oe n d oe n
түшүнгөнсүп	t y sh y n g oe n s y p
түшүнгөнү	t y sh y n g oe n y
түшүнгөнүнө	t y sh y n g oe n y n oe
түшүндү	t y sh y n d y
түшүндүбү	t y sh y n d y b y
түшүндүм	t y sh y n d y m
түшүндүрбөй	t y sh y n d y r b oe j
түшүндүргүсү	t y sh y n d y r g y s y
түшүндүргөн	t y sh y n d y r g oe n
түшүндүрдү	t y sh y n d y r d y
түшүндүрүп	t y sh y n d y r y p
